"idchem","label","definition"
110033,"Cosmetic talc ","Talcs are  hydrated magnesium silicates.  Only the pure white talcs (impureties can color it gray, green, brown or red) used in cosmetics and toilet preparations are included in this category. Cosmetic talcs are hand sorted, screened, ground very fine and bolted through silk cloth.  Consumer talc products marketed before 1973 may have been contaminated to varying degrees by asbestos. "
111101,"Sodium carbonate","Also known as soda ash, this chemical is an odorless, white, hygroscopic powder considered to be one of the most important industrial alkalis.  It occurs naturally but may also be manufactured from salt, ammonia and carbon dioxide.  It has been used for cleansing, for softening water, for conditioning boiler feed water (lime-soda process), in glass as a flux to prevent fogging, for refining oils, for the treatment of ores, in the wood-pulp industry, and in soap making.  "
111102,"Sodium hydrosulphite","This white crystalline powder is a very powerful reducing agent.  It has been used in dyeing and printing textiles, particularly in vat dyeing, as well as for stripping badly dyed materials and as a bleaching agent. "
111301,"Alumina","Oxide of aluminium, Al2O3 and its various polymorphs and hydrated species.  Corundum (both natural and synthetic), the crystalline form of alumina, has been widely used as an abrasive while the trihydrate is used as an extender pigment in paints, plastics, cosmetics, etc.  "
111401,"Silicon carbide","A bluish-black, crystalline, artificial mineral characterized by extreme hardness, a high melting point and chemical inertness. It has been used mainly as an abrasive in the form of granules or powder for shaping, cleaning or polishing surfaces.  Other applications include refractories and wear-resistant surfaces.  "
111600,"Sulfur","A non-metallic element which exists in several allotropic forms, obtained by the distillation of iron pyrites, as a by-product of metal smelting, and from natural gas.  Its most important use (90 %) has been in the production of sulphuric acid.  Other uses have included match manufacture, vulcanization of rubber, bleaching agent of paper pulp and wool, and as an agricultural insecticide. "
112001,"Calcium oxide","Also known as lime, calcium oxide is produced by calcining limestone (calcium carbonate).  Large amounts of lime (or hydrated lime, Ca(OH)2, which was also coded here) have been used in pulp and paper making, as a soil treatment in agriculture and as a 'whitewash' to coat stables, dairies and other farm buildings.  It has also been used in masonry mortars, plasters, stucco, and unhairing of skins in leather manufacturing.   "
112002,"Calcium sulphate","Also known as gypsum, calcium sulphate is a widely distributed naturally occurring mineral.  It has been used to produce gypsum wallboard which consists of a core of gypsum sandwiched between two layers of paper.  Other uses have been as dental plasters for making tooth impressions, orthopedic plasters, pottery plasters, lamp bases, and patching compounds.  "
112005,"Calcium carbonate","A mineral occurring naturally in a great variety of calcite rocks which are collectively known as limestone.  It has been used as a flux in the melting of iron, as a filler in asphalt, putty, crayons, paints, rubber, plastics and linoleum, for writing on blackboards and as a mild abrasive in polishes.  "
112201,"Titanium dioxide","This extremely dense, powerful opaque white inorganic pigment has great hiding power.  It is absolutely inert and therefore permanent.  The best quality is produced from ilmenite.  It has been used as a pigment in paints, paper, plastics, floor coverings, inks, rubber, ceramics, roofing granules, textiles and as a fluxing agent in welding electrodes.  "
112601,"Iron oxides","All oxides of iron (e.g., Fe3O4, Fe2O3, FeO.Fe2O3).  The most important uses of these compounds have been in pigments for plastics, leather, bricks, textiles, paper and concrete products.  Exposure to iron oxides is widespread; this also includes exposure to rust. "
113001,"Zinc oxide","A white, water insoluble powder widely used as a pigment and accelerator in paints and rubbers. In paints it resists the action of ultraviolet light and atmospheric sulphur, and prevents growth of mildew and fungus.  Other uses include insulating compounds, sunscreen lotions, and paper coatings.  "
118201,"Lead oxides","All oxides of lead.  Red lead (Pb3O4), and litharge (PbO) which is the yellow lead monoxide, have been used extensively as pigments in paints to protect steel substrates against corrosion.  Lead oxides have also been used in the manufacture of glass and in fluxing of earthenware.  Lead dioxide (PbO2) is the principle active constituent in the positive plate for lead storage batteries.  "
118204,"Basic lead carbonate","Commonly known as white lead, this compound is a white, amorphous powder made from metallic lead.  It is one of the oldest  lead pigments for paints; it has also been used in putty and ceramics. "
118205,"Lead chromate","This category includes not only PbCrO4 itself, commonly known as chrome yellow, but all other other addition compounds containing the lead chromate (e.g., PbO.PbCrO4).  These are considered to be the most versatile of the inorganic pigments with a good range of colors.  They are relatively inexpensive, and have been used in wood and metal coatings, printing inks, and as coloring agents in rubber and paper.  "
130001,"Organic dyes and pigments","Dyes are colored substances which impart their color effects to materials by staining, being absorbed or by chemically reacting; they are used for coloring textiles, leather, paper, plastics, petroleum products and food.  Pigments are essentially insoluble in the liquid media in which they are dispersed and are mainly used for paints and plastics.  Inorganic pigments were coded separately.  "
130101,"DDT","Dichlorodiphenyltrichloroethane, usually produced by condensation of chloral and chlorobenzene in the presence of oleum.  It has been used extensively in the control of insects.  During the 1950s, there was a remarkable growth in the use of DDT for agricultural purposes.  Due to the resistance of DDT to degradation, its use has been strictly controlled since 1970.  "
140001,"Cotton dust"," Dust generated during carding, spinning, weaving, cutting, sewing or handling of cotton or cotton-containing textiles.  Cotton is a natural fiber obtained from the Gossypium plant;  chemically it is about 90% cellulose and 6% moisture, the remainder being impurities.  The textile may have been treated with starches, dyes, inks, sizing or other finishing materials, which may have been coded separately.  "
140002,"Wool fibres","Dust generated during carding, spinning, weaving, knitting, cutting, sewing, and handling of wool or wool-containing textiles.  Wool fibers are produced from the hair of sheep or of other animals (goats, llamas).  These natural fibers are often blended with synthetic fibers (e.g., acrylic fibers) to make up yarn or textiles.  They are often treated with starches, dyes, inks, sizing or other finishing materials, some of which were coded separately.  "
140003,"Silk fibres","Dust generated when spinning, weaving, cutting, sewing or handling of silk or silk-containing textiles.  Silk is a lustrous, tough elastic fiber produced by the larvae of silkworms; the term also covers the thread or cloth made from this fiber.  The textile may have been treated with starches, dyes, inks, sizing or other finishing materials, some of which were coded separately.  Dust produced by viscose rayon, often called artificial silk, was coded separately (under rayon fibers).  "
140004,"Wood dust","Generally composed of cellulose, hemicellulose, and lignin but may also include chemicals such as pentachlorophenols and chromated copper arsenate used to improve decay resistance of wood.  Wood dust is one of the most common and oldest of occupational exposures.  "
140005,"Grain dust","Dust produced when grains such as wheat, barley and rice are harvested, milled, transported or handled in any other way.  The highest exposure concentrations were attributed to grain millers and longshoremen while the lowest exposures were given to farm workers. "
140006,"Flour dust","Dust produced when milled cereals such as wheat, corn, rye, oats, barley and millet are packaged, transported, used for cooking and baking or handled in any other way.  "
140007,"Fur dust","Dust produced when the furs of aquatic species such as beaver, otter, muskrat and seal or of northern land species such as fox, wolf, mink, weasel, squirrel, bear, badger, marten and raccoon are processed, cut and sewn. "
140008,"Flax fibres","Dust generated during fiber preparation and spinning or during cutting, weaving or handling of linen textiles.  The fibers of the flax plant, Linum usitatissimum, are used to make linen cloth or twine.  The textile may have been treated with starches, dyes, inks, sizing or other finishing materials which may have been coded separately.  "
140009,"Cork dust","Cork is obtained from the bark of the cork oak tree, Quercus suber, which is found in Spain, Portugal, Italy, Algeria, and to a limited extent in the U.S.  The natural outer layer ends up as bottle cork, cork paper for cigarette tips, and floats for rafts and nets.  Reconstituted cork is ground into particles and bonded together with an adhesive to produce floor coverings and panels (corkboard) and special sections for thermal and acoustic insulation.  "
140010,"Hair dust","Hair is found as a covering and protection on bodies of nearly all mammals, including man.  Hair dust was coded for exposure to human hair and to the hair of non fur-producing animals such as cattle, horses, pigs and goats.  "
140012,"Starch dust","Starch is a soft, white, odorless powder produced from grains such as corn, wheat, rice, potatoes and yams.  Starches have been widely used in foodstuffs, adhesives, textile and paper sizing, gelling and thickening agents, and fillers.  They have also been used in mining as flocculating agents, in the manufacture of explosives and many chemicals, and as carriers for pigments, inks and dyes. "
140013,"Sugar dust","Dust of natural sweeteners that are used in the food and beverage industry.  The main sugar used is sucrose, which is a disaccharide of the formula C12H22O11, obtained from sugar cane and beets.  "
140015,"Felt dust","Dust generated when felt is manufactured, cut, sewed or handled in any other way.  Felt is a fibrous material obtained through the interlocking of wool, fur or hair fibers under conditions of heat, moisture and friction to form an unwoven densely matted fabric.  It has been used for hats, padding and lining of instrument cases, insulation, and sound and vibration absorption.  "
140016,"Leather dust","Dust generated from skins and hides of animals after they have been cured or tanned by the action of oils, or chemically acted upon by tannins.  Leather dust consists of the light, fluffy fibers blown from the buffing and sueding wheels in tanneries or in leather product industries.  "
140017,"Tobacco dust","Tobacco is produced from the plant of the genus Nicotiana; it has been used for smoking and chewing, tobacco snuff, as an insecticide, and for production of nicotine. Tobacco dust exposure mainly occurred during the manufacture of cigars, cigarettes, pipe or chewing tobacco or snuff, and to some extent to tobacco farmers.  "
140018,"Natural rubber","Obtained by tapping the bark of the rubber tree and coagulating the milky latex.  The rubber is then masticated and blended with various other ingredients such as pigments, vulcanization agents, accelerators, antioxidants, and plasticizers.  Often blended with SBR rubber to make automobile tires and other rubber goods, the natural latex may also be used alone in dipped goods such as gloves, toys, and balloons and in adhesives.  "
145001,"Tannic acid","An ester-like compound of glucose, found in the wood, bark, fruits, leaves and roots of many plants.  It occurs naturally in tea and coffee, but is also added as a flavoring agent in soft drinks, ice creams, sweets and baked goods.  It has been used as a tanning agent and dye bath component in leather, fur, and textile processing.  "
150001,"Synthetic fibres","Dust generated during the manufacturing, spinning, weaving, cutting sewing or handling of artificial or truly synthetic fibers or of textiles containing artificial or synthetic fibers.  Artificial fibers are those in which the fiber-forming material is of natural origin (eg., viscose rayon which is regenerated cellulose and celluose acetate fibers) and the true synthetic fibers are those in which the fiber-forming material is derived from petrochemicals or coal chemicals.  They are often treated with starches, dyes, inks, sizing or other finishing materials, some of which were coded separately.   "
150002,"Plastic dusts","Dust produced when a plastic (of any polymer) material is cut, ground or abraded.  It was not coded for paints or adhesives even when these substances produced dusts, such as in sanding operations.  The main constituents are polymer resins, color pigments (inorganic and organic), filler pigments, anti-UV agents, plasticizers, fungicides, fire-retardants, stabilizers and anti-static agents.  "
150007,"Rayon fibres","The oldest man-made fiber, rayon is produced mainly by the viscose process from cellulose.  This fiber has been used in wearing apparel (especially in linings and undergarments), car, and home upholstering, hospital sanitary products, and as tire cord.  "
150008,"Acrylic fibres","Includes both acrylic  and modacrylic fibers.  Acrylic (Orlon®) fibers are made up of long chain polymers composed of at least 85% by weight acrylonitrile units; modacrylic fibers are polymers composed of less than 85% but at least 35% by weight of acrylonitrile units.  A relatively new fiber (first produced commercially in 1949), it resembles wool and has often been used as a replacement for it in clothing and upholstery fabrics, yarns and carpets.  "
150009,"Polyester fibres","Synthetic fibers containing at least 80% of a long-chain polymer composed of an ester of a dihydric alcohol (usually ethylene glycol) and terephthalic acid.  They should not be confused with polyester resins which are coded separately.  First produced in 1941, polyester (Dacron®) fibers have been widely used in garments, bedding (e.g., permanent press fabrics), carpets, stuffing for pillows, toys, sleeping bags, and comforters as well as for thermal insulation of winter outerwear.  "
150010,"Nylon fibres","The first truly synthetic fiber, nylon is a manufactured fiber in which the fiber forming substance is any long-chain polyamide having recurring amide groups (R-CO-NH-) as an integral part of the polymer chain.  Nylon (polyamide) fibers should not be confused with polyamide resins which were coded separately.  Type 6 and 6/6 nylon dominate the textile fiber field.  More than 60% of the total volume of nylon fibers produced is used in home furnishings, mostly carpets and upholstering.  It has also been used in clothing, especially water-resistant outerwear, sweaters, and hosiery.  "
150011,"Acetate fibres","These synthetic fibers, introduced in the mid 1920s, are made up of cellulose acetate, a chemical derivative of the naturally occurring polymer cellulose.  Included are both types of fibers:  acetate, made from partially hydrolyzed cellulose and triacetate, fibers that are fully acetylated. These fibers are mostly used in wearing apparel (women's clothing, undergarments and linings).  "
150012,"Cellulose acetate","Cellulose acetates (di- and tri-) are prepared by acetylating cellulose. They have been used mainly in adhesives, varnishes (for aircraft canvas in the past, for instance), photographic films, and various molded, extruded or blown plastic objects such as toys.  They have also been used to make textile fibers, but these were coded separately (see acetate fibers).  Cellulose acetate butyrate was also coded as cellulose acetate since in many cases it was hard to distinguish between the two resins.  "
150013,"Cellulose nitrate","A thermoplastic resin made by treating cellulose (cotton linters) with a mixture of nitric and sulphuric acids.  Cellulose will unite with 1 to 6 molecules to make two types of cellulose nitrate which are both coded under this rubric.  The lower nitrates are used for plastics and coatings and the higher nitrates, known as nitrocellulose, for explosives.  "
150014,"Polyethylene","Two types of these thermoplastic (can be softened on re-heating) resins were inlcuded in this category: high density (mainly branched polymers) and low density (mainly linear polymers).  Polyethylene, also known as Polythene®, has been used mainly as packaging film (mostly low density), in plastic bags, various plastic bottles and containers (mostly high density), toys, pipes and wire and cable insulation.  "
150015,"Polypropylene","First produced in 1954, this resin surpasses polyethylene in many fields because of its higher thermal operating range.  Typical applications include textile fibers, packaging, bottles, and housewares.  The fibers produced have been mainly used in indoor-outdoor carpeting and in upholstery fabrics.  "
150016,"Polystyrene","This definition applies to general purpose and high impact polystyrene polymers (used in high heels, for example) as well as to polystyrene foam (Styrofoam®, used in coffee cups, meat trays, or thermal insulation products).  SBR rubber (styrene-butadiene rubber) and ABS plastics (acrylonitrile-butadiene-styrene plastics) were coded separately.  "
150017,"Poly(vinyl chloride)","The general formula for pure PVC is (CH2CHCl)n but some copolymers with polyvinyl acetate are also coded here.  The principal markets for these thermoplastic resins have been plumbing pipes and fittings, toys, packaging, flooring, and coatings.  "
150018,"Poly(vinyl acetate)","These thermoplastic resins, of general formula (CH3CHCOOCH3)n, are obtained by polymerizing vinyl acetate.  They have been mainly used in emulsion-type trade sale paints and in wood adhesives.  Other end uses include textile and paper coatings.  "
150019,"Polyamides","These thermoplastic resins are characterized by the presence of an amide group (R-CO-NH-) at regular intervals in the molecule.  They are mainly used to produce nylon fibers, which were coded separately.  Most occupational exposures were coded at low level to pinters using polyamides as curing agents for epoxy resins."
150020,"Polyacrylates","Thermoplastic resins produced by polymerization of the esters of acrylic or methacrylic acid.  The most important resin is polymethylmethacrylate (sheet plastic produced with this resin is commonly know as plexiglassTM).  First produced commercially in 1931, acrylic plastics have been widely used as a substitute for glass and for dental prosthesis.  Acrylic resins have also been widely used in coatings, most notably in water-based trade sale paints and in motor vehicle paints.  "
150022,"Alkyds","Thermosetting oil-modified polyester resins made by the esterification of a polybasic acid with a polyhydric alcohol;  the resins are reacted with oils, fatty acids, or other resins.  They have been used extensively in solvent-based coatings (especially trade sale paints) and in printing inks.  "
150023,"Epoxies","Thermosetting synthetic resins characterized by a highly strained triangular ring consisting of an oxygen atom bonded to two adjoining and bonded carbon atoms.  They are usually made by reacting epichlorohydrin with polyhydroxy compounds (very often bisphenol A).  Excellent mechanical and electrical properties have made these resins very useful in adhesives, resistant coatings and electrical insulating materials.  "
150024,"Phenol-formaldehyde","Thermosetting resins prepared by reacting phenol with formaldehyde; they are among the oldest of the synthetic plastic materials, dating back to 1909.  They have been widely used in adhesives (especially outdoor plywood bonding), foundry molds and cores (as a binder for sand), brake linings (as a binder for the asbestos fibers), coatings (electrical insulating varnishes), resin-bonded grinding wheels, laminates, thermal and acoustical insulation materials (as a binding agent for glass fibers or mineral wool), and in castings.  "
150025,"Urea-formaldehyde","These resins are among the most widely used of the amino resins (resins produced by the addition reaction between formaldehyde and such compounds as urea, melamine, aniline, ethylene, sulphonamide).  They are used extensively as plywood and particleboard adhesives, especially for indoor use (furniture particleboard, indoor use plywood).  In the past they were also used for imparting wrinkle recovery to cellulosic fabrics but have been gradually replaced by melamine resins.  Urea-formaldehyde resins are still widely used in molded plastics (especially electrical wall plates and connectors, lighting fixtures and reflectors) and in oven-cured industrial finish coatings (porcelain-type finish). "
150026,"Melamine-formaldehyde","Melamine (C3N3(NH2)3) and formaldehyde react to form these thermosetting resins which are widely used in laminating, molding, and bonding formulations, sometimes supplanting urea resins which are less resistant to humidity.  They have also been used for textile (permanent press finishes) and paper treatments, for plastic dinnerware, and as laminated plastic sheets for counters and tabletops.  "
150027,"Polyurethanes","Generally considered to cover all products of reaction between isocyanates and polyhydroxy compounds.  These resins have been used in a great variety of products: rigid and flexible foam products, hard and soft plastic products, elastomers, paints, varnishes, and adhesives.  "
150028,"Polyester resins","Most textbooks would state that an unsaturated polyester is formed by reacting a dihydroxy alcohol (mostly propylene glycol) with an unsaturated dicarboxylic acid or anhydride (mainly phthallic or maleic anhydride).  The unsaturation permits cross-linking with a vinyl monomer (mostly styrene).  This category was coded mainly to workers exposed to the final product containing the polyester resin already cross-linked with styrene and usually reinforced with glass fibers. Isocyanates can also be used to cross-link certain polyester polymers and the resulting product will then be a polyurethane and was coded as such;  polyester resin was not coded in this case. Polyester resins began to be used commercially in the mid 50s, mainly in construction laminates, in boats and other marine uses, in castings (non-reinforced polyester), in swimming pools, and in reservoirs.  "
150029,"Styrene-butadiene rubber","SBR is a copolymer of 1,3-butadiene and styrene (with butadiene furnishing at least 50% of the polymer units).  It is a general purpose rubber often blended with natural rubber. Tire manufacturing represents the largest single rubber application and the largest end use of SBR rubber.  Water-based trade sale paints were formulated with SBR in the early 50s.  "
150030,"Polychloroprene","The world's entire production of chloroprene (CH2=CClCH=CH2) is used in the manufacture of polychloroprene latex and rubber (also called neoprene).   These elastomers have been widely used in synthetic adhesives, mainly solvent-based contact cements. Their excellent resistance to oils, chemicals, and sunlight have also led to their use in a variety of rubber products such as conveyer belts, footwear, hose covers, and wire coverings.  "
160001,"Fabric dust","Dust generated during carding, spooling, weaving, spinning, cutting, and handling of treated or untreated fibers and fabrics made of either natural or synthetic fibers. Treated textile fibers and fabrics have undergone chemical processes often referred also as “textile finishing” such as sizing, fire-proofing, water-proofing, chintzing, mercerizing, crease-resisting, etc… Treated fabrics may also contain pigments used to print or dye.  Those and other finishing materials may contribute to the toxicity of the dust of fibers and textile fabrics."
170001,"Coal dust","Coal is composed mainly of carbon with smaller amounts of hydrogen, nitrogen,  oxygen, sulphur and other organic aromatic compounds. In the past, it was used primarily as a fuel.  The greatest exposure to coal dust occurs among miners and others who handled it in its raw form.  "
170002,"Carbon black","An amorphous powdered carbon resulting from the incomplete combustion of liquid or gaseous hydrocarbons in a limited air supply.  It contains essentially 88 to 95% elemental carbon, 0.4 to 11% oxygen and 0.05 to 0.8% hydrogen.  Includes all types:  furnace black, thermal black, channel black, etc.  It has been used mainly to reinforce rubber for tires and other rubber articles and as a pigment in inks and paints.  "
170003,"Cellulose","The main constituent of the cell walls of plants.  Industrial cellulose is made from wood or cotton pulp.  It is used for paper making but also as a starting material for cellulose acetate and  cellulose nitrate.  Exposure has been mainly coded to workers exposed to paper fibres.  "
170004,"Soot","A black carbonaceous substance formed by the combustion of coal, wood, gasoline, diesel or other petroleum-based oils or products.  In addition to carbon and PAHs, it may contain other mineral constituents as well as trace amounts of metals (e.g., lead, vanadium, barium, chromium).  The composition of soot varies according to the fuel and the completeness of the combustion."
170005,"Coke dust","Coke is produced in coke ovens by driving off the volatile components of coal, resuting in a fuel that has a much higher carbon content (> 90%) than coal, and produces a smaller quantity of undesirable combustion products upon burning.  The principle users of coke have been iron foundries and aluminium electrolytic refineries.  It has also been used in the direct synthesis of calcium carbide and in the manufacture of graphite and electrodes.  "
170006,"Rubber dust","Includes rubber dusts of both natural and synthetic origin. Whenever possible, the specific type of rubber used was also coded (mainly styrene-butadiene rubber or natural rubber).  Highest exposures occurred during buffing of tires in recapping operations; exposure was also coded often to shoe repairmen and shoemakers because of rubber sole buffing.  
"
170008,"Graphite dust","Graphite is a form of carbon in which carbon atoms are arranged in a hexagonal, layerlike crystalline structure.  Natural graphite, which has a grayish black color, has been used for pencils, as a stove polish, in foundry mold facings, in packing seals and as a lubricant.  The artificial variety may be made by heating carbon to a temperature of nearly 3000°C and holding for a sufficient time for formation of the orderly hexagonal crystal pattern.  "
210100,"Hydrogen","Tthe lightest known substance.  It is one of the main consitituents of coal gas.  It is a colorless, odorless gas used as a rocket fuel, a welding fuel, a reducing agent, a reagent in various organic synthesis, a hydrogenating agent for vegetable or animal oils, and as a raw material in the manufacturing of ammonia and hydrogen chloride.  Occupational exposures have mainly occured due to hydrogen being liberated as an unwanted by-product in industrial processes.  "
210601,"Carbon monoxide","A colorless, tasteless and almost odorless gas which is lighter than air and burns in air with a blue flame.  It is an active reducing agent for chemicals at elevated temperatures, but is mostly encountered as a waste product of incomplete combustion of carbonaceous material.  Potential sources of carbon monoxide exposure include engine emissions (gasoline, diesel, jet fuel, etc.), foundry furnaces and other industrial furnaces, welding operations, etc.  "
210602,"Hydrogen cyanide","A colorless gas with the characteristic smell of bitter almonds.  It has been used in extraction of gold, in extermination of rodents and insects in orchards and tobacco farms, in metallurgy and in jewelry manufacturing.  Occupational exposure also occurred to electroplaters (cyanide solutions) and firefighters (plastic pyrolysis).  "
210701,"Ammonia","A by-product of coal distillation and is also produced by passing nitrogen, hydrogen and a catalyst through an electric arc.  It is an important source of various nitrogen containing compounds.  An enormous quantity of ammonia is used in the production of fertilizers.  As a gas it has been used in refrigeration and in nitriding, bright annealing, and for sintering metals.  As an aqueous solution (NH4OH), it has been used in the textile and pharmaceutical industries, in medicine, in trade sale paints, in fire extinguishers, and in consumer cleaning products.  "
210703,"Nitrogen oxides","Formed when nitrogen is oxidized in a high temperature flame, an electric arc or an internal combustion engine.  The source of the nitrogen is often the atmosphere itself of which nitrogen is a major constituent.  The oxides are rarely released pure into the atmosphere, but occur as mixtures, the composition of which depends upon the source and the local conditions.  "
210801,"Ozone","A bluish gas with a slightly pungent odor.  It is generated from oxygen on exposure to ultraviolet radiation and in the vicinity of electrical sources.  It is a powerful oxidizer capable of breaking down most organic compounds.  The potential sources of exposure to ozone in industry are leakages from ozone-using processes, high voltage electrical equipment, electric arc welding, electric furnaces, photocopying machines, and in the bleaching of textiles, paper pulp, starch and sugar.  "
210901,"Hydrogen fluoride","Anhydrous hydrogen fluoride is a colorless gas prepared by the action of sulphuric acid on calcium fluoride.  It is strongly corrosive and irritating.  Aqueous solution and salts of hydrofluoric acid are used in the production of fluorides and plastics, in frosting and etching glass, in polishing crystals, in enameling and galvanizing iron, in working silk, in analytic chemistry, and to increase the porosity of ceramics.  Many occupational exposures resulted from thermal degradation of fluoride coatings on welding electrodes."
